f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,y,T,W,G
0.625114646616551,0.6331055855395924,0.5582854261556373,0.30455834078731164,0.6122816860266116,0.3034188894835267,0.5827222660131737,0.5035579197889185,0.7482694200941101,0.42725278349479806,0.5415086291506926,0.460260906184535,0.6130770637051928,0.47556293081059303,0.3904381948154758,0.0,0.0,0.385093130780665,2.0
0.631400914312879,0.6176600536301053,0.43837410307687463,0.6488654135189309,0.5963576090203384,0.39430655606350495,0.36448843463893243,0.30133353529647355,0.48705168390424525,0.3849114773723925,0.4544171444457915,0.45684686617567427,0.5698073312024278,0.5462575808619833,0.4792568128791958,1.0,0.0,0.04431486079376423,4.0
0.44623496738001134,0.43043077498807947,0.2800597384038683,0.47476228139859744,0.6643899470748258,0.5419645876856048,0.5578588381782366,0.306545105039801,0.5964073641390641,0.48702166736305336,0.36444201992381225,0.34792440554701143,0.5849582771376043,0.419189729648506,0.5189483112398691,1.0,1.0,0.10515527353313703,4.0
0.5503029283123395,0.3398678743125831,0.4684672660759563,0.705443444528898,0.27394884351331916,0.4299832811852288,0.44430634267236435,0.3574351309290701,0.3548039384321532,0.5869717499610991,0.4465572163203026,0.3061480802895596,0.3504950319127384,0.6425785295281887,0.6051559790482964,0.0,0.0,0.8315491208176975,1.0
0.6161690339074637,0.7132800073392712,0.5238446321203123,0.36743949675610293,0.518272494244392,0.7563222666592136,0.52069464861298,0.4842768211624536,0.4966012798297379,0.7849680138144183,0.7286697520683908,0.09186099913458226,0.46269759070693767,0.4447448892896533,0.45685948649599856,1.0,0.0,0.43156930581213115,3.0
0.7271776910043983,0.4345413080794703,0.1898799734371319,0.47210764075759515,0.7002784919498466,0.5797101561318477,0.3045619105407678,0.4108525348759175,0.43585647793946775,0.805121796515839,0.7104576627327341,0.591483121187875,0.5225082396274349,0.3166362184215279,0.5593349041743599,0.0,1.0,0.0059936190031382175,3.0
0.3886357021740435,0.4589909335581343,0.44482477775294055,0.4444564312604295,0.3965171600293634,0.534665024151568,0.5734793269943589,0.4396024855740408,0.5880293001072623,0.4608839578716387,0.37500100520478186,0.6701337267541511,0.5208642969230545,0.510958684355605,0.526011752885846,0.0,0.0,0.9657227079111133,0.0
0.5381048380048621,0.567634726292054,0.44315303184184734,0.4443610064249677,0.5976008037445468,0.4330783640859634,0.481054576072965,0.41651072258328625,0.4297968955115541,0.4851099482146928,0.3986637309060412,0.4163753742538022,0.4492354349861821,0.6219405519197101,0.49602563337283706,1.0,0.0,0.22613142089460103,1.0
0.5302114571507823,0.48192431654984497,0.5486138080408347,0.5926994549265752,0.5455023332723489,0.5012851378355404,0.6382826221514648,0.49829185474026305,0.36356831935985423,0.7250291871916903,0.47162643141546956,0.7455611784679806,0.5229888948163862,0.46871346738634406,0.4588931952896322,0.0,1.0,0.1354676989881065,1.0
0.5895789114580281,0.4075366354679118,0.29618706858821264,0.5464935851810655,0.47158046833166173,0.4103367706791361,0.3577395747782617,0.5373630356406602,0.3768751352449633,0.6644089340695414,0.4094034588582747,0.5529927924278731,0.3054548549578116,0.534523508768892,0.525128559482379,0.0,1.0,0.18496069550809635,1.0
